Адрес,Цена,Тип предложения,Площадь участка,Правоустанавливающие документы,Возможность ипотеки,Возможность обмена,Широта,Долгота,Местоположение,Разное,Возможность рассрочки,Состояние,Кол-во этажей,Интернет,Канализация,Питьевая вода,Электричество,Газ,Мебель,Санузел,Пол,Cвет,Отопление,"Площадь, кв.м","Стоимость, доллар США за 1 кв.м",Город,Село
с. Кок-Джар,95000,собственник,8.0,красная книга,,,42.7924,74.6598,,"огорожен,                                             ровный",,,,0,0,1,0,1,0,0,0,1,0,800.0,118.75,с. Кок-Джар,False
"с. Пригородное, Эркиндик 112",30000,собственник,5.0,красная книга,,рассмотрю варианты,42.9004,74.5401,пригород,,,,,0,1,1,0,1,0,0,0,1,0,500.0,60.0,с. Пригородное,False
"Бишкек, БГУ, юдахина 87/айни",59000,собственник,3.0,красная книга,,,42.8497,74.5785,город,,,,,0,0,0,0,0,0,0,0,0,0,300.0,196.66666666666666,Бишкек,False
"Бишкек, Душанбинка, Табалдиева 76",350000,собственник,4.88,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8504,74.5907,город,,,,,0,0,0,0,0,0,0,0,0,0,488.0,717.2131147540983,Бишкек,False
"Бишкек, Магистраль, Мамеева",750000,агент,15.0,,,рассмотрю варианты,42.8226,74.5819,город,"удобно под коммерцию,                                             удобный въезд,                                             все документы",,,,0,1,1,0,1,0,0,0,1,0,1500.0,500.0,Бишкек,False
с. Таш-Добо,30000,собственник,102.0,"зеленая книга,                                             договор купли-продажи",,рассмотрю варианты,42.7283,74.56,,,,,,0,1,1,0,0,0,0,0,0,0,10200.0,2.9411764705882355,с. Таш-Добо,False
с. Таш-Добо,45000,собственник,7.0,"договор купли-продажи,                                             договор дарения,                                             красная книга",,рассмотрю варианты,42.7162,74.5561,,"удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,1,0,1,0,0,0,0,0,1,0,700.0,64.28571428571429,с. Таш-Добо,False
"Бишкек, Ынтымак ж/м",600000,собственник,19.0,красная книга,,,42.8153,74.5758,,"госакт,                                             ровный,                                             все документы",,,,0,1,1,0,1,0,0,0,1,0,1900.0,315.7894736842105,Бишкек,False
"с. Новопавловка, Крупская 24/Крупская/Кирова",21000,собственник,3500.0,красная книга,0.0,обмен не предлагать,42.878,74.4908,,"сад,                                             огорожен,                                             удобный въезд,                                             все документы",нет,,,0,0,1,0,1,0,0,0,1,0,350000.0,0.06,с. Новопавловка,False
"Бишкек, Т. Усубалиева 116а",29000,собственник,3.01,красная книга,,,42.8234,74.4978,город,,,,,0,0,0,0,0,0,0,0,0,0,301.0,96.34551495016612,Бишкек,False
"Бишкек, Аламединский рынок, переулок Пишпекский 8/Куликовский",55000,собственник,3.0,"технический паспорт,                                             договор дарения",,обмен не предлагать,42.8909,74.6404,город,удобно под коммерцию,,,,0,0,1,0,1,0,0,0,1,0,300.0,183.33333333333334,Бишкек,False
"Бишкек, Тунгуч м-н, Горького",180000,агент,15.0,красная книга,1.0,,42.8537,74.6856,город,"хозпостройки,                                             огорожен,                                             дом,                                             времянка,                                             все документы",,,,0,1,1,0,1,0,0,0,1,0,1500.0,120.0,Бишкек,False
"Бишкек, Баха, Садырбаева/Магистраль",300000,агент,13.0,"технический паспорт,                                             красная книга,                                             свидетельство о праве на наследство",1.0,,42.832,74.5627,,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             удобный въезд,                                             все документы",,,,0,1,1,0,0,0,0,0,1,0,1300.0,230.76923076923077,Бишкек,False
"с. Байтик, А. Укуева 27",155000,собственник,10.0,"технический паспорт,                                             красная книга",,рассмотрю варианты,42.747,74.5547,пригород,"фундамент,                                             хозпостройки,                                             огорожен,                                             госакт,                                             ровный,                                             удобный въезд,                                             все документы",,,,1,1,1,0,0,0,0,0,1,0,1000.0,155.0,с. Байтик,False
"с. Бактуу-Долоноту, Береке 2",8000,собственник,4.0,красная книга,,,42.6471,77.1393,,удобно под коммерцию,,,,1,0,1,0,0,0,0,0,1,0,400.0,20.0,с. Бактуу-Долоноту,False
"Бишкек, Гагарина, Гагарина/Репина",87500,собственник,3.1,договор купли-продажи,0.0,,42.8521,74.5495,,все документы,нет,,,0,1,1,0,1,0,0,0,1,0,310.0,282.258064516129,Бишкек,False
"Бишкек, Ден Сяопина - Фучика",155000,агент,6.0,красная книга,0.0,,42.8761,74.5401,,все документы,нет,,,0,1,1,0,1,0,0,0,0,0,600.0,258.3333333333333,Бишкек,False
"Бишкек, Ден Сяопина - Фучика, Дэн-Сяопина 129/1/Каракумская",85000,собственник,6.11,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,рассмотрю варианты,42.8768,74.5484,трасса,"огорожен,                                             удобно под коммерцию",,,,0,0,1,0,0,0,0,0,1,0,611.0,139.11620294599018,Бишкек,False
Чолпон-Ата,55000,собственник,10.0,красная книга,,рассмотрю варианты,42.6393,77.0428,трасса,,,,,0,0,0,0,0,0,0,0,0,0,1000.0,55.0,Чолпон-Ата,False
"Бишкек, Ынтымак ж/м",320000,собственник,16.0,,1.0,,42.8088,74.5652,,"огорожен,                                             госакт,                                             времянка,                                             удобный въезд,                                             все документы,                                             ровный",,,,0,1,1,0,1,0,0,0,1,0,1600.0,200.0,Бишкек,False
"Чолпон-Ата, Бакай-Ата/Моит Аке",12000,собственник,6.0,,,обмен на авто,42.6529,77.1118,,"фундамент,                                             госакт,                                             все документы",,,,0,0,1,0,0,0,0,0,1,0,600.0,20.0,Чолпон-Ата,False
"Бишкек, Ынтымак ж/м",178000,собственник,9.0,,,,42.8134,74.5719,,"хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             все документы,                                             ровный,                                             удобный въезд",,,,1,1,1,0,1,0,0,0,1,0,900.0,197.77777777777777,Бишкек,False
Бишкек,18000,собственник,4.0,красная книга,,обмен не предлагать,42.8348,74.4692,город,"удобный въезд,                                             все документы",,,,0,0,1,0,0,0,0,0,0,0,400.0,45.0,Бишкек,False
Бишкек,21000,собственник,4.5,"акт ввода в эксплуатацию,                                             красная книга",,обмен на авто,42.8268,74.4802,город,,,,,0,0,0,0,0,0,0,0,0,0,450.0,46.666666666666664,Бишкек,False
Бишкек,20500,собственник,4.0,,,обмен не предлагать,42.8443,74.474,город,"госакт,                                             ровный,                                             удобный въезд,                                             все документы",,,,0,0,1,0,0,0,0,0,1,0,400.0,51.25,Бишкек,False
"Бишкек, Матросова, Медерова/Жукеева пудовкина",238000,агент,5.0,"договор купли-продажи,                                             красная книга",,,42.8522,74.6173,,"ровный,                                             удобный въезд,                                             все документы",,,,0,1,1,0,1,0,0,0,1,0,500.0,476.0,Бишкек,False
"с. Люксембург, Строительная 10/1",13500,агент,5.0,"красная книга,                                             договор купли-продажи",,,42.8829,74.8211,,,,,,0,0,0,0,0,0,0,0,0,0,500.0,27.0,с. Люксембург,False
Лебединовка,85000,агент,7.0,,,,42.8831,74.6915,,,,,,0,0,0,0,0,0,0,0,0,0,700.0,121.42857142857143,Лебединовка,False
"Бишкек, Арча-Бешик ж/м",195000,агент,11.0,,,,42.8303,74.5433,,,,,,0,0,0,0,0,0,0,0,0,0,1100.0,177.27272727272728,Бишкек,False
"Бишкек, 69-га",37000,агент,5.0,,,,42.813,74.5419,,,,,,0,0,0,0,0,0,0,0,0,0,500.0,74.0,Бишкек,False
"с. Кок-Джар, Куюкова 5а/7 апрель",170000,агент,13.0,"договор купли-продажи,                                             красная книга",1.0,,42.8298,74.643,пригород,госакт,,,,1,1,1,0,1,0,0,0,0,0,1300.0,130.76923076923077,с. Кок-Джар,False
с. Тосор,52500,агент,50.0,,1.0,рассмотрю варианты,42.1538,77.4834,,удобно под коммерцию,есть,,,0,0,0,0,0,0,0,0,0,0,5000.0,10.5,с. Тосор,False
"Бишкек, Гагарина",230000,агент,7.0,,,,42.8509,74.5659,,,,,,0,0,0,0,0,0,0,0,0,0,700.0,328.57142857142856,Бишкек,False
"Бишкек, Кайынды ж/м",38000,агент,4.0,,,,42.9172,74.6221,,"сад,                                             огорожен,                                             дом",,,,0,1,1,0,1,0,0,0,1,0,400.0,95.0,Бишкек,False
"Каракол, Кыдыр Аке",220000,агент,14.0,,,,42.5039,78.3866,,,,,,0,0,0,0,0,0,0,0,0,0,1400.0,157.14285714285714,Каракол,False
"Бишкек, Киргизия 1 ж/м, гаражная 11",120000,агент,5.0,,,,42.8128,74.5823,,,,,,0,0,0,0,0,0,0,0,0,0,500.0,240.0,Бишкек,False
с. Кунтуу,140000,собственник,80.0,,,,42.783,74.4758,,,,,,0,0,0,0,0,0,0,0,1,0,8000.0,17.5,с. Кунтуу,False
с. Манас,200000,агент,120.0,"договор купли-продажи,                                             красная книга",0.0,рассмотрю варианты,42.9882,74.4502,пригород,"дом,                                             все документы",нет,,,0,0,1,0,0,0,0,0,1,0,12000.0,16.666666666666668,с. Манас,False
с. Буденовка,80000,собственник,40.0,,,рассмотрю варианты,42.8955,74.9277,трасса,"хозпостройки,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",,,,0,0,0,0,0,0,0,0,0,0,4000.0,20.0,с. Буденовка,False
с. Интернациональное,250000,собственник,6.0,"технический паспорт,                                             красная книга",,рассмотрю варианты,42.7521,74.9468,предгорье,,,,,0,0,1,0,0,0,0,0,1,0,600.0,416.6666666666667,с. Интернациональное,False
"Бишкек, Ак-Ордо ж/м, Кызыл Жылдыз 93",28500,собственник,5.0,"договор дарения,                                             красная книга",0.0,обмен не предлагать,42.8359,74.4889,город,"госакт,                                             ровный,                                             все документы",нет,,,0,0,1,0,0,0,0,0,1,0,500.0,57.0,Бишкек,False
"Бишкек, Учкун м-н",42000,агент,4.0,"договор купли-продажи,                                             красная книга",,,42.8702,74.6927,,,,,,0,0,0,0,0,0,0,0,0,0,400.0,105.0,Бишкек,False
"Бишкек, Советская - Скрябина/Медерова Элебаева",185000,собственник,5.2,,,,42.8535,74.6147,город,,,,,0,0,0,0,0,0,0,0,0,0,520.0,355.7692307692308,Бишкек,False
с. Арашан,31200,собственник,4.8,"договор купли-продажи,                                             красная книга,                                             технический паспорт",,обмен не предлагать,42.7394,74.6479,дача,госакт,,,,1,0,1,0,0,0,0,0,1,0,480.0,65.0,с. Арашан,False
"Лебединовка, Проспект Ленина 87/Чкалова",220000,собственник,10.2,"технический паспорт,                                             красная книга",0.0,рассмотрю варианты,42.8826,74.6718,трасса,"хозпостройки,                                             огорожен,                                             дом,                                             ровный,                                             все документы",нет,,,1,1,1,0,1,0,0,0,1,0,1019.9999999999999,215.68627450980395,Лебединовка,False
с. Таш-Мойнок,2000,собственник,48.0,"договор купли-продажи,                                             зеленая книга",,рассмотрю варианты,42.7428,74.6756,предгорье,,,,,0,0,0,0,0,0,0,0,0,0,4800.0,0.4166666666666667,с. Таш-Мойнок,False
"Бишкек, АУЦА",79000,собственник,5.5,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.8058,74.6288,город,"госакт,                                             все документы",,,,0,0,0,0,0,0,0,0,0,0,550.0,143.63636363636363,Бишкек,False
Каинды,70000,собственник,1.0,,,,42.8075,73.6797,трасса,удобно под коммерцию,,,,0,0,0,0,0,0,0,0,0,0,100.0,700.0,Каинды,False
Бишкек,80000,собственник,4.0,договор купли-продажи,,,42.8958,74.6064,,,,,,1,0,0,0,1,0,0,0,1,0,400.0,200.0,Бишкек,False
"Бишкек, Арча-Бешик ж/м, Он арча 79/Иманкулова",125000,собственник,6.0,красная книга,,,42.8236,74.5675,,сад,,,,0,1,1,0,1,0,0,0,1,0,600.0,208.33333333333334,Бишкек,False
"с. Восток,  ул. Озерная 16",25000,собственник,5.0,"договор купли-продажи,                                             красная книга",,,42.9031,74.6727,,,,,,0,0,1,0,1,0,0,0,1,0,500.0,50.0,с. Восток,False
"с. Беш-Кунгей,  ул. Тарынчиева",60000,собственник,8.4,,0.0,,42.7672,74.6456,,,нет,,,0,0,1,0,0,0,0,0,1,0,840.0,71.42857142857143,с. Беш-Кунгей,False
"Бишкек, Ак-Орго ж/м, ак чолмок",56000,собственник,5.0,,,,42.8557,74.5283,,,,,,0,0,0,0,0,0,0,0,0,0,500.0,112.0,Бишкек,False
"Бишкек, БГУ",59000,агент,3.0,красная книга,,,42.8485,74.5789,,,,,,0,0,0,0,0,0,0,0,0,0,300.0,196.66666666666666,Бишкек,False
"Бишкек, Ак-Ордо 1 линия",28000,собственник,6.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.83,74.4877,трасса,"фундамент,                                             госакт,                                             времянка,                                             ровный,                                             все документы",,,,0,0,1,0,0,0,0,0,1,0,600.0,46.666666666666664,Бишкек,False
"с. Полтавка, Коминтерна 37/Горький",14983,собственник,20.0,красная книга,,,42.8482,73.9614,трасса,,,,,0,0,0,0,0,0,0,0,0,0,2000.0,7.4915,с. Полтавка,False
с. Сары-Ой,6000,собственник,4.0,,,рассмотрю варианты,42.606,76.9443,,,,,,0,0,0,0,0,0,0,0,0,0,400.0,15.0,с. Сары-Ой,False
с. Байтик,240000,агент,14.0,,,,42.7364,74.5428,,,,,,0,0,0,0,0,0,0,0,0,0,1400.0,171.42857142857142,с. Байтик,False
"Бишкек, Ынтымак ж/м",178000,агент,8.0,,,,42.8154,74.5723,,,,,,0,0,0,0,0,0,0,0,0,0,800.0,222.5,Бишкек,False
"Бишкек, Ак-Орго ж/м",8000,агент,300.0,,,,42.8269,74.5117,,,,,,0,0,0,0,0,0,0,0,0,0,30000.0,0.26666666666666666,Бишкек,False
"Бишкек, Старый толчок, Чагая/Кыргызская",35000,собственник,5.0,"договор купли-продажи,                                             красная книга",1.0,,42.9159,74.5978,город,"огорожен,                                             госакт,                                             удобный въезд,                                             все документы",,,,0,0,1,0,1,0,0,0,1,0,500.0,70.0,Бишкек,False
с. Булан-Соготту,20000,собственник,14.0,красная книга,,рассмотрю варианты,42.6799,77.3024,,фундамент,,,,0,0,1,0,0,0,0,0,1,0,1400.0,14.285714285714286,с. Булан-Соготту,False
"Бишкек, Кок-Жар ж/м, Арпачиева",130000,собственник,10.0,красная книга,,рассмотрю варианты,42.8434,74.6432,,все документы,,,,0,0,0,0,0,0,0,0,0,0,1000.0,130.0,Бишкек,False
"с. Селекционное, Нур-Эл 40",38000,собственник,3.5,,,обмен не предлагать,42.8342,74.5327,,,,,,0,0,0,0,0,0,0,0,0,0,350.0,108.57142857142857,с. Селекционное,False
"с. Корумду (Иссык-Кульский р-н), Осмон Агай 30",75000,собственник,28.0,"красная книга,                                             договор купли-продажи",,,42.6886,77.3456,трасса,"удобно под коммерцию,                                             времянка,                                             ровный,                                             все документы,                                             удобный въезд,                                             огорожен,                                             госакт,                                             дом,                                             хозпостройки",,,,0,1,1,0,0,0,0,0,1,0,2800.0,26.785714285714285,с. Корумду (Иссык-Кульский р-н),False
"Каракол, Московская/Токтогула",100000,собственник,6.0,,0.0,обмен не предлагать,42.4944,78.3997,,"огорожен,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",нет,,,1,1,1,0,0,0,0,0,1,1,600.0,166.66666666666666,Каракол,False
"Бишкек, Учкун ж/м, 9 улица 13",45000,собственник,4.0,"договор купли-продажи,                                             технический паспорт",,,42.8697,74.7082,,все документы,,под самоотделку (псо),,0,0,1,0,1,0,0,0,1,0,400.0,112.5,Бишкек,False
"с. Заречное, Ала-арчинская 2/1",29000,собственник,3.0,красная книга,,рассмотрю варианты,42.7579,74.5733,,,,,,0,0,0,0,0,0,0,0,0,0,300.0,96.66666666666667,с. Заречное,False
"Бишкек, Матросова, Тобольский/Ахунбаева",200000,собственник,4.5,"договор купли-продажи,                                             технический паспорт,                                             красная книга",0.0,обмен не предлагать,42.8417,74.6195,город,"огорожен,                                             дом,                                             ровный,                                             все документы",нет,,,1,1,1,0,1,0,0,0,1,1,450.0,444.44444444444446,Бишкек,False
"Бишкек, Гоин, Жибек-Жолу/Шопокова",250000,собственник,6.0,,1.0,обмен не предлагать,42.8854,74.6149,,"огорожен,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,0,1,1,0,1,0,0,0,1,0,600.0,416.6666666666667,Бишкек,False
с. Бактуу-Долоноту,240000,агент,48.0,,1.0,рассмотрю варианты,42.6503,77.1316,город,"госакт,                                             удобно под коммерцию,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,0,0,1,0,0,0,0,0,1,0,4800.0,50.0,с. Бактуу-Долоноту,False
с. Ананьево,2300000,агент,1000.0,,,,42.7147,77.6913,,"фундамент,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",есть,,,0,1,1,0,0,0,0,0,1,0,100000.0,23.0,с. Ананьево,False
"Бишкек, Молодая Гвардия",1700000,агент,120.0,"красная книга,                                             технический паспорт",,,42.8665,74.5764,город,,,,,0,0,0,0,0,0,0,0,0,0,12000.0,141.66666666666666,Бишкек,False
"с. Озёрное, село Озерное 43",16000,собственник,4.0,красная книга,,,42.942,74.4357,дача,,,,,0,0,0,0,0,0,0,0,0,0,400.0,40.0,с. Озёрное,False
"с. Таш-Добо, Школьная",27000,собственник,6.6,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.7308,74.5774,предгорье,,,,,0,0,0,0,0,0,0,0,0,0,660.0,40.90909090909091,с. Таш-Добо,False
с. Люксембург,130000,собственник,200.0,,,,42.8902,74.8206,трасса,,,,,0,0,0,0,0,0,0,0,0,0,20000.0,6.5,с. Люксембург,False
"с. Беш-Кунгей, конец с. Беш Күнгөй",150000,собственник,1300.0,,,,42.7546,74.6563,трасса,,,,,0,0,0,0,0,0,0,0,0,0,130000.0,1.1538461538461537,с. Беш-Кунгей,False
"Бишкек, Аламединский рынок,  ул. Кантемировский/м. Жалила",83500,агент,7.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8864,74.6479,город,огорожен,,,,0,1,1,0,1,0,0,0,1,1,700.0,119.28571428571429,Бишкек,False
"Бишкек, Кара-Жыгач ж/м",85000,агент,6.0,"договор купли-продажи,                                             акт ввода в эксплуатацию,                                             технический паспорт,                                             красная книга",,,42.8661,74.6573,город,"огорожен,                                             хозпостройки,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",,,,0,1,1,0,1,0,0,0,1,0,600.0,141.66666666666666,Бишкек,False
"Бишкек, Эргеш Ата",25000,собственник,4.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8421,74.4628,,,,,,0,0,0,0,0,0,0,0,0,0,400.0,62.5,Бишкек,False
с. Аламудун,48000,собственник,15.0,красная книга,,рассмотрю варианты,42.8995,74.6417,,"сад,                                             хозпостройки,                                             огорожен,                                             дом,                                             времянка",,,,0,0,1,0,1,0,0,0,1,1,1500.0,32.0,с. Аламудун,False
"Бишкек, Тоголок-Молдо/Ленинградская",320000,собственник,9.0,,,,42.893,74.5974,,,,,,1,1,1,0,1,0,0,0,1,1,900.0,355.55555555555554,Бишкек,False
"с. им. С. Чокморова, Сопубек",69000,собственник,15.0,,1.0,,42.7523,74.6012,,,,,,0,1,1,0,0,0,0,0,1,0,1500.0,46.0,с. им. С. Чокморова,False
"Бишкек, Киргизия-2 м-н",120000,собственник,4.3,"договор купли-продажи,                                             технический паспорт",,,42.8139,74.5821,,,,,,0,0,0,0,0,0,0,0,0,0,430.0,279.06976744186045,Бишкек,False
"Лебединовка, жибек жолу",230000,собственник,13.0,,,,42.8848,74.685,,,,,,0,0,0,0,0,0,0,0,0,0,1300.0,176.92307692307693,Лебединовка,False
"с. Новопокровка, Достук 12",35000,собственник,8.0,,,,42.8752,74.7275,,,,,,0,0,0,0,0,0,0,0,0,0,800.0,43.75,с. Новопокровка,False
"с. Бактуу-Долоноту, Жадоева",25000,собственник,8.0,красная книга,,обмен не предлагать,42.6534,77.127,,"фундамент,                                             все документы",есть,,,0,1,1,0,1,0,0,0,1,0,800.0,31.25,с. Бактуу-Долоноту,False
с. Селекционное,23500,собственник,4.5,красная книга,1.0,рассмотрю варианты,42.8261,74.4803,,,,,,0,0,0,0,0,0,0,0,0,0,450.0,52.22222222222222,с. Селекционное,False
с. Бостери,160000,собственник,100.0,,,рассмотрю варианты,42.6552,77.2387,,,,,,0,0,0,0,0,0,0,0,0,0,10000.0,16.0,с. Бостери,False
"Бишкек, Киргизия 1 ж/м",145000,агент,4.5,"договор купли-продажи,                                             технический паспорт,                                             красная книга",0.0,обмен не предлагать,42.8131,74.5822,,"сад,                                             хозпостройки,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,1,1,1,0,1,0,0,0,1,0,450.0,322.22222222222223,Бишкек,False
"с. Беш-Кунгей, Кочорбай Уулу Алакуш",22500,собственник,4.0,"красная книга,                                             договор купли-продажи",,,42.7711,74.6528,предгорье,госакт,,,,0,0,1,0,0,0,0,0,1,0,400.0,56.25,с. Беш-Кунгей,False
"с. Новопокровка, Мичурина",13500,собственник,5.0,"технический паспорт,                                             договор купли-продажи",,,42.8758,74.7534,,,,,,0,0,0,0,0,0,0,0,0,0,500.0,27.0,с. Новопокровка,False
"Кара-Балта, Центральная",103000,агент,23.0,,,,42.8214,73.8309,,,,,,0,0,0,0,0,0,0,0,0,0,2300.0,44.78260869565217,Кара-Балта,False
"с. Маевка,  ул Молодая Гвардия 83",190000,собственник,18.0,красная книга,,рассмотрю варианты,42.9155,74.5731,трасса,,,,,0,0,0,0,0,0,0,0,0,0,1800.0,105.55555555555556,с. Маевка,False
"Бишкек, Алматинка - Магистраль, кыял 16/магистраль / алматинка",130000,собственник,14.0,красная книга,,обмен не предлагать,42.8052,74.6454,,все документы,,,,1,1,1,0,1,0,0,0,1,1,1400.0,92.85714285714286,Бишкек,False
"Бишкек, Ак-Ордо ж/м, Чолпон 1",40000,собственник,4.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,рассмотрю варианты,42.851,74.5107,трасса,"госакт,                                             ровный,                                             удобный въезд,                                             все документы",есть,,,1,1,1,0,1,0,0,0,1,0,400.0,100.0,Бишкек,False
с. Чок-Тал,113000,собственник,20.0,,,рассмотрю варианты,42.5888,76.7499,,"все документы,                                             удобный въезд,                                             удобно под коммерцию,                                             сад,                                             госакт,                                             ровный",,,,1,1,1,0,0,0,0,0,1,0,2000.0,56.5,с. Чок-Тал,False
"с. Кок-Джар, Алапаева 25/Достоевский",110000,собственник,6.0,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.8225,74.6501,город,"госакт,                                             ровный,                                             удобный въезд,                                             все документы",,,,1,0,1,0,1,0,0,0,1,0,600.0,183.33333333333334,с. Кок-Джар,False
"Кемин, Праволинейная 5",6915,собственник,16.0,,,,42.7685,75.6799,,"фундамент,                                             госакт",,,,0,0,0,0,0,0,0,0,1,0,1600.0,4.321875,Кемин,False
"с. Байтик, село Байтик",240000,собственник,14.0,красная книга,,,42.749,74.5579,,,,,,0,1,1,0,0,0,0,0,1,0,1400.0,171.42857142857142,с. Байтик,False
"Бишкек, Ынтымак ж/м",178000,агент,8.0,красная книга,,рассмотрю варианты,42.8145,74.5741,город,,,,,0,0,0,0,0,0,0,0,0,0,800.0,222.5,Бишкек,False
"с. Ананьево, Ленина/Советская",2100000,агент,1000.0,,1.0,рассмотрю варианты,42.7124,77.6954,,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",нет,,,0,0,1,0,0,0,0,0,0,0,100000.0,21.0,с. Ананьево,False
"с. Новопокровка, с.Лебединовка/Ауэзова/Салиева",250000,собственник,11.4,,,рассмотрю варианты,42.8738,74.769,трасса,,,,,0,0,0,0,0,0,0,0,0,0,1140.0,219.2982456140351,с. Новопокровка,False
"с. Садовое (Аламудунский р-н), Мыканская 78/1",27000,собственник,9.0,,,,42.9343,74.6681,трасса,,,,,0,0,1,0,1,0,0,0,1,0,900.0,30.0,с. Садовое (Аламудунский р-н),False
с. Джекен,700000,собственник,1200.0,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.8869,73.8746,,,,,,0,0,0,0,0,0,0,0,0,0,120000.0,5.833333333333333,с. Джекен,False
с. Манас,12000,собственник,4.23,красная книга,,обмен на авто,42.9957,74.4197,трасса,,,,,0,0,0,0,0,0,0,0,0,0,423.00000000000006,28.36879432624113,с. Манас,False
с. Кок-Джар,330000,собственник,3500.0,,,,42.7982,74.669,трасса,"госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд",,,,0,0,0,0,0,0,0,0,0,0,350000.0,0.9428571428571428,с. Кок-Джар,False
с. Кашка-Баш,2000000,собственник,300.0,договор купли-продажи,0.0,рассмотрю варианты,42.809,74.507,трасса,все документы,нет,,,0,0,0,0,0,0,0,0,0,0,30000.0,66.66666666666667,с. Кашка-Баш,False
"Бишкек, Магистраль, Малдыбаева 231/Магистраль",270000,собственник,7.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,обмен не предлагать,42.8298,74.5959,город,"удобно под коммерцию,                                             ровный,                                             все документы",,,,0,1,1,0,1,0,0,0,1,0,700.0,385.7142857142857,Бишкек,False
Сокулук,200000,собственник,24.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.861,74.3128,,,,,,0,1,1,0,1,0,0,0,1,1,2400.0,83.33333333333333,Сокулук,False
"Лебединовка, Комсомольская 3 А/Ауэзова",59800,собственник,4.0,"договор купли-продажи,                                             зеленая книга",1.0,,42.8809,74.6922,трасса,"фундамент,                                             госакт,                                             ровный,                                             удобный въезд,                                             все документы",есть,среднее,,1,0,1,0,1,0,0,0,1,0,400.0,149.5,Лебединовка,False
с. Джал,70000,собственник,12.5,красная книга,,,42.7881,74.5215,трасса,ровный,,,,0,1,1,0,0,0,0,0,1,0,1250.0,56.0,с. Джал,False
"с. Новопавловка, Фрунзе 228/Пограничная",210000,собственник,9.0,красная книга,,рассмотрю варианты,42.8736,74.4656,трасса,"все документы,                                             удобно под коммерцию",,,,0,1,1,0,1,0,0,0,1,0,900.0,233.33333333333334,с. Новопавловка,False
"с. Тамга, Участок расположена по адресу: Ыссык-Кульский обл., Жети-Огузский рай., с.Тамга ул Нооруз .",10000,собственник,14.0,красная книга,0.0,обмен не предлагать,42.1505,77.5525,,госакт,нет,,,0,0,1,0,0,0,0,0,1,0,1400.0,7.142857142857143,с. Тамга,False
с. Бир-Булак,33000,собственник,7.0,красная книга,,обмен не предлагать,42.716,74.5563,пригород,удобный въезд,,,,0,0,1,0,0,0,0,0,1,0,700.0,47.142857142857146,с. Бир-Булак,False
"Бишкек, Кузнечная крепость, жибек-жолу 331",250000,собственник,4.7,красная книга,0.0,обмен не предлагать,42.8858,74.6203,трасса,"хозпостройки,                                             удобно под коммерцию,                                             все документы",нет,,,0,0,1,0,0,0,0,0,1,0,470.0,531.9148936170212,Бишкек,False
с. Беш-Кунгей,97967,собственник,13.0,,,,42.7679,74.6485,,,,,,0,0,0,0,0,0,0,0,0,0,1300.0,75.35923076923076,с. Беш-Кунгей,False
"Кара-Суу, Кайргач айылы",14983,собственник,8.0,красная книга,,,40.6086,73.0203,,"фундамент,                                             сад,                                             дом,                                             времянка,                                             все документы",,,,1,0,1,0,0,0,0,0,1,0,800.0,18.72875,Кара-Суу,False
с. Кок-Джар контур 232,25000,собственник,5.0,красная книга,,,42.8106,74.6718,,,,,,0,0,0,0,0,0,0,0,1,0,500.0,50.0,с. Кок-Джар контур 232,False
"Талас,  ул. боконбаева",12000,собственник,6.0,"договор купли-продажи,                                             красная книга",,,42.5375,72.21,,,,,,0,0,1,0,0,0,0,0,1,0,600.0,20.0,Талас,False
